,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1," Freeman, F",NL, ,518692,1B,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-,3,1
1,1," Jeter, D",AL, ,116539,SS,1,2,1,2,1,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,0,0,0,0,3,1,0,0,0,-,9,2
2,1," Lucroy, J",NL, ,518960,C,1,2,0,2,2,0,0,2,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,0,4,2,0,0,0,-,9,2
3,1," Utley, C",NL, ,400284,2B,1,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,0,1,0,0,2,1,0,0,0,-,10,2
4,5," Ramirez, A",NL, ,133380,3B,1,3,1,2,1,0,0,0,0,0,0,0,.667,.667,1.000,1.667,0,0,0,0,3,1,0,0,1,0.00,9,3
5,5," Trout, M",AL, ,545361,OF,1,3,1,2,1,1,0,2,0,0,0,0,.667,.667,1.667,2.333,0,0,0,0,5,2,0,0,1,0.00,14,3
6,7," Norris, D",AL, ,519083,C,1,2,1,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-,7,2
7,7," Ramirez, A",AL, ,493351,SS,1,2,1,1,0,0,0,0,0,0,1,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,1.00,11,2
8,9," Cabrera, M",AL, ,408234,1B,1,3,1,1,0,0,1,2,0,0,0,0,.333,.333,1.333,1.667,0,0,0,0,4,1,0,0,2,0.00,16,3
9,9," McCutchen, A",NL, ,457705,OF,1,3,0,1,0,0,0,0,0,0,1,0,.333,.333,.333,.667,0,0,0,0,1,0,0,1,1,1.00,10,3
10,9," Tulowitzki, T",NL, ,453064,SS,1,3,0,1,1,0,0,0,0,1,0,0,.333,.333,.667,1.000,0,0,0,0,2,1,0,0,1,0.00,14,3
11,12," Abreu, J",AL, ,547989,1B,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,1,0.00,1,1
12,12," Bautista, J",AL, ,430832,OF,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,0,1.00,9,2
13,12," Blackmon, C",NL, ,453568,OF,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,0,1.00,7,2
